ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600028.SH,20250102,6.67,6.73,6.52,6.56,6.68,-0.12,-1.7964,1719786.77,1136783.089
600030.SH,20250102,28.98,29.0,27.17,27.45,29.17,-1.72,-5.8965,2828487.33,7898902.462
600031.SH,20250102,16.48,16.48,15.69,15.77,16.48,-0.71,-4.3083,853894.28,1368558.133
600036.SH,20250102,39.35,39.5,38.34,38.51,39.3,-0.79,-2.0102,642000.7,2493694.677
600048.SH,20250102,8.84,8.98,8.61,8.68,8.86,-0.18,-2.0316,1273310.73,1121639.098
600050.SH,20250102,5.31,5.31,4.99,5.02,5.31,-0.29,-5.4614,6316935.35,3236422.041
600150.SH,20250102,35.89,36.06,34.28,34.57,35.96,-1.39,-3.8654,609966.32,2135187.507
600276.SH,20250102,45.88,46.1,44.7,44.95,45.9,-0.95,-2.0697,348132.41,1575496.086
600309.SH,20250102,71.35,71.35,69.4,69.72,71.35,-1.63,-2.2845,257306.89,1802306.993
600406.SH,20250102,25.2,25.25,24.07,24.22,25.22,-1.0,-3.9651,349585.07,853884.318
600519.SH,20250102,1524.0,1524.49,1480.0,1488.0,1524.0,-36.0,-2.3622,50028.7,7490883.773
600690.SH,20250102,28.45,29.04,27.99,28.2,28.47,-0.27,-0.9484,568571.27,1618238.609
600760.SH,20250102,50.17,50.17,47.88,48.32,50.72,-2.4,-4.7319,232908.44,1135047.342
600809.SH,20250102,183.25,184.0,177.0,177.98,184.21,-6.23,-3.382,89257.01,1600761.357
600887.SH,20250102,30.1,30.48,29.36,29.56,30.18,-0.62,-2.0543,545479.78,1631435.516
600900.SH,20250102,29.51,29.73,29.08,29.2,29.55,-0.35,-1.1844,1041220.08,3057996.06
600941.SH,20250102,117.92,118.65,113.55,115.0,118.16,-3.16,-2.6743,151276.57,1743228.073
601012.SH,20250102,15.7,15.8,15.3,15.43,15.71,-0.28,-1.7823,828253.07,1287616.503
601088.SH,20250102,43.34,43.99,42.3,42.59,43.48,-0.89,-2.0469,303613.75,1306206.673
601127.SH,20250102,131.66,131.95,127.77,128.54,133.39,-4.85,-3.636,311939.07,4042933.703
601166.SH,20250102,19.21,19.35,18.83,18.92,19.16,-0.24,-1.2526,951277.2,1813631.03
601211.SH,20250102,18.54,18.56,17.65,17.77,18.65,-0.88,-4.7185,608565.27,1100098.952
601225.SH,20250102,23.38,23.78,23.11,23.12,23.26,-0.14,-0.6019,361110.21,843344.552
601288.SH,20250102,5.34,5.4,5.17,5.2,5.34,-0.14,-2.6217,6404374.45,3368830.351
601318.SH,20250102,52.7,52.73,50.39,50.71,52.65,-1.94,-3.6847,948579.17,4877807.223
601328.SH,20250102,7.78,7.84,7.5,7.53,7.77,-0.24,-3.0888,2051511.94,1566422.871
601398.SH,20250102,6.91,6.98,6.76,6.8,6.92,-0.12,-1.7341,5314824.65,3636887.2
601600.SH,20250102,7.34,7.44,7.13,7.2,7.35,-0.15,-2.0408,1307035.62,953320.473
601601.SH,20250102,34.09,34.09,32.13,32.29,34.08,-1.79,-5.2523,449626.69,1487202.964
601628.SH,20250102,41.81,41.92,39.5,39.82,41.92,-2.1,-5.0095,180369.71,730555.023
601658.SH,20250102,5.68,5.76,5.51,5.52,5.68,-0.16,-2.8169,1919775.79,1076430.203
601668.SH,20250102,6.01,6.03,5.79,5.82,6.0,-0.18,-3.0,3008804.57,1772769.188
601728.SH,20250102,7.22,7.28,7.03,7.11,7.22,-0.11,-1.5235,1737024.97,1236590.567
601766.SH,20250102,8.36,8.42,7.91,7.96,8.38,-0.42,-5.0119,1401169.81,1138455.761
601816.SH,20250102,6.17,6.21,5.98,6.03,6.16,-0.13,-2.1104,1318145.53,801010.074
601857.SH,20250102,8.91,9.01,8.73,8.77,8.94,-0.17,-1.9016,1849814.42,1636853.877
601888.SH,20250102,67.03,67.19,64.33,64.7,67.01,-2.31,-3.4472,186711.66,1227701.233
601899.SH,20250102,15.2,15.48,15.0,15.18,15.12,0.06,0.3968,1990530.77,3037419.314
601919.SH,20250102,15.55,15.67,14.94,15.03,15.5,-0.47,-3.0323,1437508.48,2194344.502
601985.SH,20250102,10.4,10.49,10.12,10.15,10.43,-0.28,-2.6846,1710085.82,1765127.247
601988.SH,20250102,5.51,5.56,5.33,5.37,5.51,-0.14,-2.5408,2678095.57,1454224.689
603259.SH,20250102,55.03,55.29,52.7,53.06,55.04,-1.98,-3.5974,350818.13,1886594.13
603501.SH,20250102,104.4,104.93,98.99,100.58,104.41,-3.83,-3.6682,209140.25,2132763.511
603993.SH,20250102,6.66,6.75,6.55,6.58,6.65,-0.07,-1.0526,1846091.45,1230142.674
688008.SH,20250102,67.83,68.39,65.3,65.93,67.9,-1.97,-2.9013,357590.6,2383660.096
688012.SH,20250102,188.81,188.87,178.65,180.9,189.16,-8.26,-4.3667,113828.9,2079401.916
688041.SH,20250102,148.3,149.47,137.41,139.08,149.79,-10.71,-7.15,386445.94,5449063.43
688111.SH,20250102,285.0,286.0,264.2,266.66,286.39,-19.73,-6.8892,77019.59,2092912.594
688256.SH,20250102,653.01,665.0,630.0,645.62,658.0,-12.38,-1.8815,79753.82,5128937.886
688981.SH,20250102,93.81,95.09,88.5,89.96,94.62,-4.66,-4.925,849710.56,7762894.946
600028.SH,20250103,6.58,6.65,6.54,6.57,6.56,0.01,0.1524,1621873.13,1071128.87
600030.SH,20250103,27.34,27.57,26.84,26.97,27.45,-0.48,-1.7486,1839546.08,4998126.763
600031.SH,20250103,15.85,16.0,15.55,15.6,15.77,-0.17,-1.078,534033.71,842151.57
600036.SH,20250103,38.6,39.04,38.54,38.66,38.51,0.15,0.3895,682583.06,2646967.329
600048.SH,20250103,8.68,8.75,8.49,8.54,8.68,-0.14,-1.6129,1078567.31,930058.464
600050.SH,20250103,5.01,5.03,4.88,4.92,5.02,-0.1,-1.992,3751283.7,1855921.731
600150.SH,20250103,34.48,34.57,33.58,33.73,34.57,-0.84,-2.4299,450413.1,1534505.131
600276.SH,20250103,45.0,45.17,44.16,44.36,44.95,-0.59,-1.3126,273873.2,1223704.155
600309.SH,20250103,69.72,71.14,69.7,70.09,69.72,0.37,0.5307,177043.91,1245937.844
600406.SH,20250103,24.15,24.44,23.78,23.86,24.22,-0.36,-1.4864,200125.27,481907.684
600519.SH,20250103,1494.5,1494.99,1467.01,1475.0,1488.0,-13.0,-0.8737,32628.36,4836610.288
600690.SH,20250103,28.15,28.55,27.52,27.6,28.2,-0.6,-2.1277,428371.73,1195989.557
600760.SH,20250103,48.03,48.33,46.21,46.34,48.32,-1.98,-4.0977,183708.31,867150.404
600809.SH,20250103,178.0,180.58,177.0,178.0,177.98,0.02,0.0112,56723.56,1014909.815
600887.SH,20250103,29.5,29.73,29.2,29.3,29.56,-0.26,-0.8796,409097.46,1206201.912
600900.SH,20250103,29.21,29.43,28.85,29.0,29.2,-0.2,-0.6849,946322.86,2753136.714
600941.SH,20250103,114.11,114.9,112.62,114.08,115.0,-0.92,-0.8,112559.24,1281364.586
601012.SH,20250103,15.43,15.56,14.97,15.0,15.43,-0.43,-2.7868,722007.23,1101114.343
601088.SH,20250103,42.92,43.01,41.97,42.07,42.59,-0.52,-1.2209,240857.02,1020680.626
601127.SH,20250103,128.88,129.16,124.85,124.98,128.54,-3.56,-2.7696,272432.14,3448949.907
601166.SH,20250103,18.93,19.15,18.8,18.92,18.92,0.0,0.0,736913.2,1396707.839
601211.SH,20250103,17.87,17.94,17.42,17.57,17.77,-0.2,-1.1255,428045.44,757054.324
601225.SH,20250103,23.26,23.73,23.13,23.53,23.12,0.41,1.7734,407307.16,956407.473
601288.SH,20250103,5.19,5.23,5.1,5.15,5.2,-0.05,-0.9615,5330975.69,2745987.063
601318.SH,20250103,51.0,51.09,50.08,50.3,50.71,-0.41,-0.8085,551351.85,2788346.287
601328.SH,20250103,7.56,7.6,7.41,7.43,7.53,-0.1,-1.328,1548186.5,1157196.373
601398.SH,20250103,6.81,6.83,6.62,6.71,6.8,-0.09,-1.3235,5210739.86,3493034.297
601600.SH,20250103,7.18,7.47,7.17,7.3,7.2,0.1,1.3889,1800015.46,1321722.075
601601.SH,20250103,32.31,32.43,31.6,31.65,32.29,-0.64,-1.982,330076.0,1056465.023
601628.SH,20250103,39.82,40.0,39.07,39.32,39.82,-0.5,-1.2557,126120.11,497482.935
601658.SH,20250103,5.54,5.57,5.44,5.49,5.52,-0.03,-0.5435,1787648.14,984008.383
601668.SH,20250103,5.82,5.88,5.76,5.78,5.82,-0.04,-0.6873,1842138.07,1070904.132
601728.SH,20250103,7.11,7.18,6.94,7.01,7.11,-0.1,-1.4065,1263160.39,887517.364
601766.SH,20250103,8.0,8.08,7.8,7.83,7.96,-0.13,-1.6332,961259.34,761843.729
601816.SH,20250103,6.05,6.07,5.91,5.96,6.03,-0.07,-1.1609,986465.07,590616.479
601857.SH,20250103,8.81,8.95,8.8,8.85,8.77,0.08,0.9122,1789653.1,1589925.43
601888.SH,20250103,64.99,65.2,62.76,62.83,64.7,-1.87,-2.8903,153837.69,979895.136
